City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Dafeng,CN,23.4517,108.5881,72.37,52,1,2.8,clear sky
322,Kamina,CD,-8.7386,24.9906,76.57,75,77,7.49,light rain
323,Pangnirtung,CA,66.1451,-65.7125,26.2,80,0,14.58,clear sky
324,Soldotna,US,60.4878,-151.0583,9.0,92,90,3.44,light snow
325,Margate,GB,51.3813,1.3862,30.99,86,100,5.99,snow
326,Mezen,RU,65.8522,44.24,-17.84,88,99,8.14,overcast clouds
327,Mollendo,PE,-17.0231,-72.0147,76.26,68,84,9.35,broken clouds
328,Salekhard,RU,66.53,66.6019,-17.59,87,100,30.51,light snow
329,Avera,US,33.194,-82.5271,41.0,85,90,6.91,haze
330,Verkhoyansk,RU,67.5447,133.385,-31.49,82,0,1.01,clear sky
331,Alenquer,BR,-1.9417,-54.7383,86.0,66,40,4.61,scattered clouds
332,Lasa,IT,46.6166,10.7002,41.0,55,90,5.75,mist
333,Gidole,ET,5.65,37.3667,72.52,42,72,3.87,broken clouds
334,Manbij,SY,36.5281,37.9549,59.0,67,0,6.91,clear sky
335,Polyarnyy,RU,69.1989,33.4478,15.8,92,75,2.24,light snow
336,Chicama,PE,-7.8447,-79.1469,71.6,83,65,9.22,light rain
337,Matelandia,BR,-25.2408,-53.9964,82.4,61,0,6.91,clear sky
338,Colesberg,ZA,-30.72,25.0972,90.0,17,57,12.97,broken clouds
339,Chiredzi,ZW,-21.05,31.6667,86.23,56,75,7.09,broken clouds
340,Torzhok,RU,57.0436,34.9622,9.95,94,100,10.36,overcast clouds
341,Vila Franca Do Campo,PT,37.7167,-25.4333,62.01,94,75,16.11,broken clouds
342,Hofn,IS,64.2539,-15.2082,35.6,80,75,9.22,broken clouds
343,Beyla,GN,8.6833,-8.6333,99.14,13,22,6.8,few clouds
344,Leningradskiy,RU,69.3833,178.4167,-13.14,76,10,5.5,clear sky
345,Babushkin,RU,51.7122,105.8647,14.18,90,99,4.92,overcast clouds
